 20241121	 11:27:19	3815029639	% 20241121	 11:27:19	3815029640	4117B	2378	98.560	22.435
 20241121	 11:28:06	3815029686	% 20241121	 11:28:06	3815029687	4117B	2378	98.476	22.487
5029544	% 20241121	 11:25:43	3815029544	4117B	2378	98.623	22.438
837	22.455
 20241121	 11:22:02	3815029323	% 20241121	 11:22:02	3815029323	4117B	2378	98.839	22.433
 20241121	 11:22:37	3815029358	% 20241121	 11:22:38	3815029359	% 20241121	 11:22:38	3815029359	4117B	2378	98.761	22.468
:30:54	3814331454	4117B	2378	168.041	22.186
 20241113	 09:31:24	3814331484	4117B	2378	168.144	22.186
 20241113	 09:31:54	3814331514	4117B	2378	168.151	22.187
 20241113	 09:32:24	3814331544	4117B	2378	168.204	22.187
 20241113	 09:32:54	3814331574	4117B	2378	168.248	22.187
 20241113	 09:33:24	3814331604	4117B	2378	168.307	22.188
 20241113	 09:33:54	3814331634	4117B	2378	168.349	22.188
 20241113	 09:34:24	3814331664	4117B	2378	168.372	22.188
 20241113	 09:34:54	3814331694	4117B	2378	168.412	22.188
 20241113	 09:35:24	3814331724	4117B	2378	168.438	22.188
 20241113	 09:35:54	3814331754	4117B	2378	168.500	22.188
 20241113	 09:36:24	3814331784	4117B	2378	168.510	22.189
 20241113	 09:36:54	3814331814	4117B	2378	168.539	22.189
 20241113	 09:37:24	3814331844	4117B	2378	168.566	22.189
 20241113	 09:37:54	3814331874	4117B	2378	168.593	22.189
 20241113	 09:38:24	3814331904	4117B	2378	168.615	22.188
 20241113	 09:38:54	3814331934	4117B	2378	168.639	22.189
 20241113	 09:39:24	3814331964	4117B	2378	168.648	22.190
 20241113	 09:39:54	3814331994	4117B	2378	168.661	22.190
 20241113	 09:40:24	3814332024	4117B	2378	168.694	22.190
 20241113	 09:40:54	3814332054	4117B	2378	168.720	22.190
 20241113	 09:41:24	3814332084	4117B	2378	168.749	22.190
 20241113	 09:41:54	3814332114	4117B	2378	168.740	22.191
 20241113	 09:42:24	3814332144	4117B	2378	168.770	22.191
 20241113	 09:42:54	3814332174	4117B	2378	168.792	22.191
 20241113	 09:43:24	3814332204	4117B	2378	168.797	22.191
 20241113	 09:43:54	3814332234	4117B	2378	168.813	22.192
 20241113	 09:44:24	3814332264	4117B	2378	168.819	22.192
 20241113	 09:44:54	3814332294	4117B	2378	168.828	22.193
 20241113	 09:45:24	3814332324	4117B	2378	168.859	22.192
 20241113	 09:45:54	3814332354	4117B	2378	168.866	22.192
 20241113	 09:46:24	3814332384	4117B	2378	168.883	22.193
 20241113	 09:46:54	3814332414	4117B	2378	168.909	22.193
 20241113	 09:47:24	3814332444	4117B	2378	168.932	22.193
 20241113	 09:47:54	3814332474	4117B	2378	168.925	22.193
 20241113	 09:48:24	3814332504	4117B	2378	168.929	22.194
 20241113	 09:48:54	3814332534	4117B	2378	168.919	22.196
 20241113	 09:49:24	3814332564	4117B	2378	168.964	22.195
 20241113	 09:49:54	3814332594	4117B	2378	168.953	22.196
 20241113	 09:50:24	3814332624	4117B	2378	168.968	22.196
 20241113	 09:50:54	3814332654	4117B	2378	168.974	22.196
 20241113	 09:51:24	3814332684	4117B	2378	168.977	22.196
 20241113	 09:51:54	3814332714	4117B	2378	168.984	22.197
 20241113	 09:52:24	3814332744	4117B	2378	168.977	22.196
 20241113	 09:52:54	3814332774	4117B	2378	169.003	22.196
 20241113	 09:53:24	3814332804	4117B	2378	169.008	22.197
 20241113	 09:53:54	3814332834	4117B	2378	169.017	22.197
 20241113	 09:54:24	3814332864	4117B	2378	169.021	22.197
 20241113	 09:54:54	3814332894	4117B	2378	169.028	22.197
 20241113	 09:55:24	3814332924	4117B	2378	169.058	22.198
 20241113	 09:55:54	3814332954	4117B	2378	169.050	22.198
 20241113	 09:56:24	3814332984	4117B	2378	169.040	22.198
 20241113	 09:56:54	3814333014	4117B	2378	169.048	22.198
 20241113	 09:57:24	3814333044	4117B	2378	169.070	22.198
 20241113	 09:57:54	3814333074	4117B	2378	169.064	22.199
 20241113	 09:58:24	3814333104	4117B	2378	169.059	22.199
 20241113	 09:58:54	3814333134	4117B	2378	169.055	22.200
 20241113	 09:59:24	3814333164	4117B	2378	169.063	22.200
 20241113	 09:59:54	3814333194	4117B	2378	169.085	22.200
 20241113	 10:00:24	3814333224	4117B	2378	169.072	22.200
 20241113	 10:00:54	3814333254	4117B	2378	169.082	22.200
 20241113	 10:01:24	3814333284	4117B	2378	169.086	22.200
 20241113	 10:01:54	3814333314	4117B	2378	169.086	22.201
 20241113	 10:02:24	3814333344	4117B	2378	169.087	22.201
 20241113	 10:02:54	3814333374	4117B	2378	169.109	22.201
 20241113	 10:03:24	3814333404	4117B	2378	169.097	22.201
 20241113	 10:03:54	3814333434	4117B	2378	169.080	22.202
 20241113	 10:04:24	3814333464	4117B	2378	169.096	22.202
 20241113	 10:04:54	3814333494	4117B	2378	169.076	22.202
 20241113	 10:05:24	3814333524	4117B	2378	169.101	22.203
 20241113	 10:05:54	3814333554	4117B	2378	169.106	22.202
 20241113	 10:06:24	3814333584	4117B	2378	169.093	22.202
 20241113	 10:06:54	3814333614	4117B	2378	169.100	22.203
 20241113	 10:07:24	3814333644	4117B	2378	169.082	22.203
 20241113	 10:07:54	3814333674	4117B	2378	169.117	22.203
 20241113	 10:08:24	3814333704	4117B	2378	169.090	22.203
 20241113	 10:08:54	3814333734	4117B	2378	169.088	22.204
 20241113	 10:09:24	3814333764	4117B	2378	169.095	22.204
 20241113	 10:09:54	3814333794	4117B	2378	169.105	22.204
 20241113	 10:10:24	3814333824	4117B	2378	169.078	22.204
 20241113	 10:10:54	3814333854	4117B	2378	169.087	22.204
 20241113	 10:11:24	3814333884	4117B	2378	169.092	22.204
 20241113	 10:11:54	3814333914	4117B	2378	169.086	22.206
 20241113	 10:12:24	3814333944	4117B	2378	169.095	22.205
 20241113	 10:12:54	3814333974	4117B	2378	169.079	22.206
 20241113	 10:13:24	3814334004	4117B	2378	169.097	22.206
 20241113	 10:13:54	3814334034	4117B	2378	169.080	22.206
 20241113	 10:14:24	3814334064	4117B	2378	169.071	22.206
 20241113	 10:14:54	3814334094	4117B	2378	169.073	22.206
 20241113	 10:15:24	3814334124	4117B	2378	169.079	22.206
 20241113	 10:15:54	3814334154	4117B	2378	169.080	22.206
 20241113	 10:16:24	3814334184	4117B	2378	169.067	22.207
 20241113	 10:16:54	3814334214	4117B	2378	169.071	22.207
 20241113	 10:17:24	3814334244	4117B	2378	169.048	22.207
 20241113	 10:17:54	3814334274	4117B	2378	169.080	22.207
 20241113	 10:18:24	3814334304	4117B	2378	169.062	22.207
 20241113	 10:18:54	3814334334	4117B	2378	169.051	22.207
 20241113	 10:19:24	3814334364	4117B	2378	169.081	22.208
 20241113	 10:19:54	3814334394	4117B	2378	169.069	22.208
 20241113	 10:20:24	3814334424	4117B	2378	169.049	22.208
 20241113	 10:20:54	3814334454	4117B	2378	169.047	22.209
 20241113	 10:21:24	3814334484	4117B	2378	169.059	22.209
 20241113	 10:21:54	3814334514	4117B	2378	169.046	22.208
 20241113	 10:22:24	3814334544	4117B	2378	169.042	22.209
 20241113	 10:22:54	3814334574	4117B	2378	169.041	22.209
 20241113	 10:23:24	3814334604	4117B	2378	169.064	22.209
 20241113	 10:23:54	3814334634	4117B	2378	169.060	22.210
 20241113	 10:24:24	3814334664	4117B	2378	169.049	22.209
 20241113	 10:24:54	3814334694	4117B	2378	169.031	22.210
 20241113	 10:25:24	3814334724	4117B	2378	169.061	22.210
 20241113	 10:25:54	3814334754	4117B	2378	169.050	22.210
 20241113	 10:26:24	3814334784	4117B	2378	169.029	22.211
 20241113	 10:26:54	3814334814	4117B	2378	169.053	22.210
 20241113	 10:27:24	3814334844	4117B	2378	169.032	22.212
 20241113	 10:27:54	3814334874	4117B	2378	169.045	22.212
 20241113	 10:28:24	3814334904	4117B	2378	169.020	22.212
 20241113	 10:28:54	3814334934	4117B	2378	169.016	22.212
 20241113	 10:29:24	3814334964	4117B	2378	169.020	22.212
 20241113	 10:29:54	3814334994	4117B	2378	169.016	22.212
 20241113	 10:30:24	3814335024	4117B	2378	169.031	22.212
 20241113	 10:30:54	3814335054	4117B	2378	169.011	22.213
 20241113	 10:31:24	3814335084	4117B	2378	169.025	22.212
